names,第1章,第2章,第3章,第4章,第5章,第6章,第7章,第8章,第9章,第10章,第11章,第12章,第13章,第14章,第15章,第16章,第17章,第18章,第19章,第20章,第21章,第22章,第23章,第24章,第25章,第26章,第27章,第28章,第29章,第30章,第31章,第32章,第33章,第34章,第35章,第36章,第37章,第38章,第39章,第40章,第41章,第42章,第43章,第44章,第45章,第46章,第47章,第48章,第49章,第50章,第51章,第52章,第53章,第54章,第55章,第56章,第57章,第58章,第59章,第60章,第61章,第62章,第63章,第64章,第65章,第66章,第67章,第68章,第69章,第70章,第71章,第72章,第73章,第74章,第75章,第76章,第77章,第78章,第79章,第80章,第81章,第82章
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梁子翁,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9927645365753057,0.4374854901822701,0.4374854901822701,0.9778513582254024,0.5391081147674365,0.9996492983262177,0.9996492983262177,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555
成吉思汗,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8131908188800281,0.9999999300545406,0.9999999300545406,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.8280679558768207,0.38890530472886414,0.38890530472886414,0.7135372212837491,0.8857688770320858,0.8857688770320858,0.8857688770320858,0.8857688770320858,0.9431645481492092,0.9999846544412375,0.9999846544412375
杨铁心,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.999464008747262,0.999464008747262,0.999464008747262,0.8185063446595201,0.8185063446595201,0.8185063446595201,0.8185063446595201,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681
彭连虎,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9934822532934466,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985
陆冠英,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999949682123029,0.9999949682123029,0.9999949682123029,0.9999949682123029,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107
杨康,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.9822269939965256,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.7790781193111721,0.833715530200771,0.833715530200771,0.833715530200771,0.6648459602218619,0.6648459602218619,0.6648459602218619,0.6648459602218619,0.6589816849652446,8.273176065332066e-07,0.9999327035814702,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481
穆念慈,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.992265224470755,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.9998469064930153,0.9998469064930153,0.9998469064930153
裘千仞,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999999980516918,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.7191367235095364,0.7191367235095364,0.7191367235095364,0.852968406227092,0.999999741333535,0.999999741333535,0.7714979569222823,0.7714979569222823,0.7714979569222823,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051
柯镇恶,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9997950792297337,0.9997950792297337,0.006799719867118581,0.006799719867118581,0.9571087039985443,0.9984604607326886,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9999999493744672,0.9999999493744672,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9994893388445473,0.9994893388445473,0.9994893388445473,0.9968011365875294,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444
梅超风,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8739007490881776,0.9951953082118018,0.9951953082118018,0.9999998812264294,0.9999998812264294,0.9999998812264294,0.9999998812264294,0.9149623468859388,0.9999993797797705,0.9999993797797705,0.9999993797797705,0.9999993797797705,0.9999993797797705,0.9999993797797705,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.6846133333547282,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138,0.9613488974436138
欧阳克,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9978907689159788,0.9978907689159788,0.9978907689159788,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.9999999999995912,0.8225966651032405,0.8225966651032405,0.8225966651032405,0.9999998937938636,0.9999999954410701,0.9999999954410701,0.9995502865131662,0.9995502865131662,0.97079890312658,0.97079890312658,0.97079890312658,0.97079890312658,0.97079890312658,0.97079890312658,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905,0.9998033815423905
郭靖道,0.5,0.5,0.5,0.5,0.5,0.5,0.9989244630235234,0.9989244630235234,0.9503341636064868,0.9999998356927317,0.9173419191021429,0.8379774092419036,0.9992017800026629,0.9810868475101303,0.9310733503015662,0.9951813579090635,0.9096875229621547,0.9096875229621547,0.9096875229621547,0.999999102492624,0.9607316905928657,0.9607316905928657,0.9607316905928657,0.9607316905928657,0.9999996087345929,0.9999996087345929,0.9999996087345929,0.9999996087345929,0.9998554063534386,0.9864861313765783,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999428446281338,0.999075722216401,0.999075722216401,0.999075722216401,0.999075722216401,0.999075722216401,0.999075722216401,0.999075722216401,0.999075722216401,0.9999981765099422,0.4567315417372978,0.4567315417372978,0.4567315417372978,0.4567315417372978,0.4567315417372978,0.9998039723817044,0.9998039723817044,0.9998039723817044,0.9632891828705942,0.45344023524176297,0.9926702944848516,0.9997944007533324,0.9999907195805212,0.9999907195805212,0.9962737708793327,0.9962737708793327,0.9962737708793327,0.9962737708793327,0.9962737708793327,0.8931255039068022,0.8931255039068022,0.8931255039068022,0.9999995606172166,0.7088587718484354,0.9942151360126474,0.9942151360126474,0.9942151360126474,0.9987934799780334,0.9987934799780334,0.9987934799780334
丘处机,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7434979413125821,0.7434979413125821,0.9990206301870768,0.9990206301870768,0.9990206301870768,0.9999986517820378,0.9999986517820378,0.9999986517820378,0.9999986517820378,0.9999986517820378,0.7118547058586049,0.7118547058586049,0.7118547058586049,0.7118547058586049,0.7118547058586049,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.9884588456572316,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.999999970487877,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.5184404868756562,0.7179762151127321,0.7179762151127321,0.7179762151127321,0.7179762151127321,0.7179762151127321,0.7179762151127321
黄蓉道,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
周伯通,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7736488759682043,0.7383289423909406,0.8179176520569955,0.9580127649832032,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,3.104033041712029e-08,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9997379426730155,0.9998761447683457,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.9999262574958392,0.37517850443588907,0.37517850443588907,0.37517850443588907,0.37517850443588907,0.37517850443588907,0.37517850443588907,0.37517850443588907
黄药师,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5359348716969987,0.5359348716969987,0.8347840451349045,0.8347840451349045,0.7298112271968239,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.8760107452758085,0.7218819841736082,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.6346540391136318,0.7387823177976968,0.7387823177976968,0.9999464390032368,0.9999464390032368,0.9999464390032368,0.9999464390032368,0.9999464390032368,0.9999464390032368,0.9999464390032368,0.10965562286504352,0.10965562286504352,0.9576958759709178,0.9576958759709178,0.9576958759709178
欧阳锋,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999999999980731,0.9973035740179436,0.9973035740179436,0.999669784808076,0.9999742659593608,0.9619420509327931,0.9993041471659851,0.9999988674770351,0.9999988674770351,0.9994950550318484,0.5176419588710313,0.4462072739004134,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.991806076368483,0.99978962659006,0.99978962659006,0.99978962659006,0.99978962659006,0.99978962659006,0.99978962659006,0.9994718248948875,0.9994718248948875,0.9937140598800511,0.9937140598800511,0.9937140598800511,0.8438889249573771,0.9999675610710419,0.886471166721693,0.9998710084069591,0.9998710084069591,0.9998710084069591,0.9998710084069591,0.9998710084069591,0.9998710084069591
洪七公,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.06804382550447863,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.5994382704264116,0.999999911201123,0.999999911201123,0.999999911201123,0.707778130874803,0.707778130874803,0.707778130874803,0.976773998472562,0.976773998472562,0.976773998472562,0.976773998472562,0.9579249920848218,0.42572061534691374,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9998627452627354,0.9864100304317566,0.9864100304317566,0.9864100304317566,0.9864100304317566,0.9993658935095456,0.9993658935095456,0.9993658935095456,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9197724345945101,0.9933366095719306,0.9933366095719306,0.9933366095719306,0.9933366095719306,0.9933366095719306
黄蓉,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7488642774562658,0.7690404771138852,0.613946505943504,0.613946505943504,0.613946505943504,0.49566752894230665,0.7489605507013102,0.9926794634078288,0.999997306331985,0.999997306331985,0.9991167921016911,0.7441841301577146,0.906271742943107,0.9999663462316644,0.744207027104499,0.9282278485225793,0.6676798880694244,0.7454747113543634,0.9957069313788228,0.9957069313788228,0.9957069313788228,0.9957069313788228,0.9957069313788228,0.9124649422206879,0.6686764005714532,0.6686764005714532,0.6686764005714532,0.6686764005714532,0.6701522333935029,0.6793775745282895,0.7392503877772099,0.9890455646022966,0.7905822315296359,0.7464433508910604,0.7464433508910604,0.976302781186664,0.976302781186664,0.8426903492737673,0.8505274712836306,0.7257860422602342,0.7619734294990866,0.95401033483689,0.9999999997186022,0.8820174965220613,0.9999245809894303,0.9089886251810386,0.6405036831877167,0.6883210786596101,0.8313364276206591,0.7423116408941404,0.7423724748291125,0.8325971613399085,0.4950079251259006,0.5209266623430981,0.6672880737627273,0.6672880737627273,0.44505980128466516,0.9602509291788008,0.9602509291788008,0.9999764388143847,0.7584694201778109,0.6320960283038166,0.7318000189351057,0.7318000189351057,0.7318000189351057,0.8359103006831238,0.8359103006831238,1.0
郭靖,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
